Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2017-12-31,-2.760141,50.733216,,0.4,2017-12-15,20,20,20,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=549. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=549,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,"Rope Walks car park, Bridport",WD/BRID/070,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=346451,92898,27700",,,
yes,,2017-12-31,-2.757339,50.731732,,0.2,2017-12-15,6,6,6,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=526. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=526,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,"Depot, Church Street",WD/BRID/002,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=346647,92731,27700",,,
yes,,2017-12-31,-2.762945,50.736624,,0.3,2017-12-15,20,20,20,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=527. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=527,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,"St Swithins Road, Bridport",WD/BRID/003,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=346257,93279,27700",,,
,,2017-12-31,-2.479043,50.809907,,0.15,2017-12-15,4,4,4,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=568. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=568,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,Cerne Abbas C of E VC First School,WD/CERN/003,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=366344,101260,27700",,,
yes,,2017-12-31,-2.448446,50.712323,,1.5,2017-12-15,68,68,68,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=607. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=607,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,Damers School Site,WD/DORC/022,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=368434,90395,27700",,,
,,2017-12-31,-2.936136,50.727052,,0.22,2017-12-15,10,10,10,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=620. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=620,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,Woodmead Car Park,WD/LYME/001,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=334022,92355,27700",,,
,,2017-12-31,-2.94856,50.729749,,3.15,2017-12-15,100,100,100,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=621. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=621,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,owned by a public authority,,,,not permissioned,Woodroffe School,WD/LYME/002,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=333149,92666,27700",,,
yes,,2017-12-31,-2.522784,50.944283,,0.11,2017-12-15,7,7,7,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=460. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=460,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,not owned by a public authority,,,,not permissioned,Garages rear of 1-11 Half Acres,WD/SHER/005,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=363368,116224,27700",,,
,,2017-12-31,-2.426952,50.709886,,1.95,2017-12-15,136,136,136,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=602. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=602,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,mixed ownership,,,,not permissioned,Government Buildings Enlarged site,WD/DORC/017,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=369950,90115,27700",,,
,,2017-12-31,-2.751312,50.810152,,0.16,2017-12-15,5,5,5,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=515. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=515,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,not owned by a public authority,,,,not permissioned,Land off Halfacre Lane,WD/BEAM/018,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=347161,101447,27700",,,
yes,,2017-12-31,-2.770614,50.73419,,0.29,2017-12-15,10,10,10,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=525. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=525,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,not owned by a public authority,,,,not permissioned,Former Proton Garage and Works,WD/BRID/001,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=345713,93014,27700",,,
,,2017-12-31,-2.756092,50.725508,,0.66,2017-12-15,34,34,34,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=531. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=531,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,not owned by a public authority,,,,not permissioned,Bradfords Builders Merchants,WD/BRID/013,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=346728,92038,27700",,,
,,2017-12-31,-2.563415,50.669,,0.17,2017-12-15,5,5,5,https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=420. https://webapps.westdorset-weymouth.gov.uk/ShelaaWebsite/pages/Site.aspx?i=420,West Dorset District Council,http://opendatacommunities.org/id/district-council/west-dorset,not owned by a public authority,,,,not permissioned,Land off Bramdon Lane,WD/PORT/004,"https://westdorsetdc.maps.arcgis.com/apps/webappviewer/index.html?id=9c2ae08ea4bf4b47b1aaa284d709b407&level=19&center=360280,85633,27700",,,
