Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-15,,,,0.02,2019-10-15,,5,5,Existing terraces (128-130 North Walls) converted into flats and bedsits (5 units) with new external access stair.,,http://opendatacommunities.org/id/district-council/stafford,not owned by a public authority,2016-11-01,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"128 North Walls, Stafford",16/24628/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.13,2019-10-15,,18,18,Prior approval - change of use from offices to residential (18 apartments),,http://opendatacommunities.org/id/district-council/staffordshire-moorlands,not owned by a public authority,2015-02-23,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"69-70 Foregate Street, Stafford",15/21611/POTH,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,7.52,2019-10-15,,194,194,"Approval of reserved matters for residential development consisting of 194 dwellings, public open space, access, parking and landscaping",,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,2015-12-02,reserved matters approval,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Areva Fairway, Stafford",15/22735/REM,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.2,2019-10-15,,6,6,Demolish existing commercial units and change of use of existing 2 storey to create 2 two-bedroom units and build an additional attached block of 4 one-bedroom units and 4 two-bedroom units (total number 10 units),,http://opendatacommunities.org/id/district-council/babergh,not owned by a public authority,2016-08-24,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",15/23140/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.33,2019-10-15,,10,10,RESIDENTIAL DEVLEOPMENT (SIX UNITS) AT REAR OF ELMS BUSINESS CENTRE/ELMS LODGE/ELMS FARMHOUSE INCLUDING DEMOLITION OF ASBESTOS CLAD COMMERCIAL UNIT - RESUBMISSION OF 14/21329/FUL TO INCLUDE ACCESS ROUTE WITHIN RED EDGE,,http://opendatacommunities.org/id/district-council/forest-heath,not owned by a public authority,2015-03-31,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Land at Elms Business Centre, Main Road, Great Haywood",18/28018/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.08,2019-10-15,,8,8,"Eight apartments, access, drying area, parking and associated works",,http://opendatacommunities.org/id/district-council/ipswich,not owned by a public authority,2015-10-27,outline planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Land at Former Carers Centre, Austin Friars, Stafford",18/29526/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.18,2019-10-15,,20,20,Conversion of Mill building to create twenty two-bedroom apartments with associated car parking,,http://opendatacommunities.org/id/district-council/mid-suffolk,mixed ownership,2016-04-11,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Land at George Street Press and Car Park, Fancy Walk, Stafford",15/22060/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.5,2019-10-15,,76,76,Residential Care Home (Use Class C2). 76 bedroom units with on-suite facilities.,,http://opendatacommunities.org/id/district-council/st-edmundsbury,mixed ownership,2016-05-25,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Land at Silkmore Lane, Stafford",15/23463/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,2.85,2019-10-15,,45,45,"The provision of dwellings and associated infrastructure, including parking provision and roads. Officer/committee resolution to permit subject to S106 agreement being signed.",,http://opendatacommunities.org/id/district-council/suffolk-coastal,not owned by a public authority,2015-06-11,other,http://www.staffordbc.gov.uk/planning-public-access,pending decision,"Land at Yarnfield Park, Yarnfield",15/21721/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.18,2019-10-15,,15,15,Erection of three storey block of 15 supported living units with associated open space and car parking,,http://opendatacommunities.org/id/district-council/waveney,owned by a public authority,2016-02-03,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Land SCC Development Service Parcel 4, Riverway, Stafford",15/23103/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2017-11-15,,,,0.36,2019-10-15,,11,11,Residential development,,http://opendatacommunities.org/id/district-council/elmbridge,not owned by a public authority,2015-12-03,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Whitebridge Lane, Stone, Staffordshire",17/27651/REM,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.16,2019-10-15,,9,9,Conversion of Church and erection of rear two-storey extension (following demolition of existing single-storey extension) to provide five residential units and the erection of a 2.5 storey building fronting The Avenue to provide four apartments on the former Church car park,,http://opendatacommunities.org/id/district-council/epsom-and-ewell,not owned by a public authority,,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"St John’s Church, Stone",16/23671/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.13,2019-10-15,,11,11,Construct up to 11 apartments (outline),,http://opendatacommunities.org/id/district-council/guildford,not owned by a public authority,2017-08-22,outline planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"Truview, 12 Sandon Road, Stafford",17/25523/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.89,2019-10-15,,0,0,"Part-demolition of existing dwelling, construction of replacement dwelling, construction of detached carport and reorientation of residential curtilage",,http://opendatacommunities.org/id/district-council/mole-valley,not owned by a public authority,2017-10-03,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"The Halsteads, Milwich",17/26358/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.42,2019-10-15,,9,9,"Outline application for residential development (including access, all other matters reserved)",,http://opendatacommunities.org/id/district-council/reigate-banstead,not owned by a public authority,2017-10-05,outline planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"Claremont Garage, Eccleshall",17/26714/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.05,2019-10-15,,6,6,Demolition of existing buildings; construct building to accommodate 7 apartments.,,http://opendatacommunities.org/id/district-council/runnymede,not owned by a public authority,2017-11-15,outline planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"43 Eccleshall Road, Stafford",17/26235/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.16,2019-10-15,,5,5,Proposed residential development of three two storey dwellings and two semi-detached dormer bungalows,,http://opendatacommunities.org/id/district-council/spelthorne,not owned by a public authority,2017-11-21,outline planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"Salt Works Farm, Weston",17/26105/OUT,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.17,2019-10-15,,5,5,Conversion and alteration of existing dwelling to form five apartments and erection of new detached coach house to form one apartment.,,http://opendatacommunities.org/id/district-council/surrey-heath,not owned by a public authority,2018-01-12,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,not permissioned,"158 Oulton Road, Stone",17/27337/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,5.07,2019-10-15,,141,141,"Residential development of 141 dwellings, including balancing pond, play and open space and associated infrastructure.",,http://opendatacommunities.org/id/district-council/tandridge,not owned by a public authority,2018-06-20,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Staffordshire Police Headquarters, Stafford",18/27849/FUL,https://www.staffordbc.gov.uk/brownfield-land-register,,,
yes,,2019-10-15,,,,0.005,2019-10-15,,23,23,Notification for prior approval for proposed change of use from office B1(a) to dwellinghouse C3 (32 apartments),,http://opendatacommunities.org/id/district-council/waverley,not owned by a public authority,2018-03-16,full planning permission,http://www.staffordbc.gov.uk/planning-public-access,permissioned,"Britannia House, 6-7 Eastgate Street, Stafford",18/28212/POR,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/woking,,,,,,"Land at Bank Top Garage, Gnosall",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/north-warwickshire,,,,,,"Former Staffordshire University Campus, Beaconside",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/nuneaton-and-bedworth,,,,,,"Land south of Brunswick Terrace, Stafford",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/rugby,,,,,,"Land south of Brunswick Terrace, Stafford",,https://www.staffordbc.gov.uk/brownfield-land-register,,,
,,2019-10-15,,,,,2019-10-15,,,,,,http://opendatacommunities.org/id/district-council/stratford,,,,,,Stafford Police Station,,https://www.staffordbc.gov.uk/brownfield-land-register,,,
