Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
,,2017-12-14,-1.202803,52.993338,,42.62,2017-12-14,,500,500,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,Stanton Tip - Hempshill Vale,254,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452818.0658999998&xmax=453863.7862999998&ymin=343821.03360000066&ymax=344604.7441000007",,
yes,,2017-12-14,-1.178017,52.944118,,0.13,2019-08-12,,23,23,DevelopmentDescription: Erection of 22 two bed apartments and 1 one bed apartment; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-11-22,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P7261HLYK6100,permissioned,"Red Cross Society (Notts HQ), Gregory Street",275,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455286.54810000025&xmax=455333.70160000026&ymin=338828.0007000007&ymax=338872.99789999984",,
yes,,2017-12-14,-1.154738,52.938536,,0.31,2017-12-14,,42,42,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2019-12-19,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PQLVF4LYHWM00,permissioned,"Eagle Press island site, Robin Hood Way",279,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456847.11390000023&xmax=456934.8925000001&ymin=338211.8959999997&ymax=338294.85339999944",,
,2019-03-31,2017-12-14,-1.140547,52.970035,,0.33,2019-08-12,,,,DevelopmentDescription: 10 dwellings and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2017-12-01,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUIBCSLYHOG00,permissioned,"Enderleigh, The Crescent",313,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457780.75320000015&xmax=457843.24260000046&ymin=341697.1695000008&ymax=341770.19859999977",,
yes,,2017-12-14,-1.123373,52.946337,,8.99,2017-12-14,,253,253,"DevelopmentDescription: Multiple applications. 13/03029/PFUL3 for 160dw (ph1:41, ph2:31,ph3:31. Phase 2 under construction 44dw complete in 16/17 and 23dw in 19/20 complete leaving 253 in 2021 inc 15/00837/PFUL3 for 10dw; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2017-06-23,reserved matters approval,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O9MGPMLYKSQ00,permissioned,"Waterside - Daleside Road, Trent Lane Basin,",326,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458724.4994999999&xmax=459073.49650000036&ymin=338763.39919999987&ymax=339162.1651000008",,
,,2017-12-14,-1.150165,52.957943,,0.19,2017-12-14,,0,0,DevelopmentDescription: 44 dwellings .Variation of condition S1 (external design changes) of 12/01581/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-09-24,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQEEWSLYCB000,Not Permissioned,"Police garage and offices, 24-30 Shakespeare Street",327,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457121.5524000004&xmax=457188.79920000024&ymin=340362.20160000026&ymax=340412.59720000066",,
yes,,2017-12-14,-1.146489,52.958999,,0.24,2019-08-12,,147,147,DevelopmentDescription: Demolition of existing buildings and erection of student accommodation development of varying heights (maximum 8 storeys) and ancillary facilities.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-10-10,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P54FUNLYMPU00,permissioned,123 Huntingdon Street,333,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457404.30030000024&xmax=457474.9358000001&ymin=340517.79700000025&ymax=340583.6983000003",,
yes,,2017-12-14,-1.142789,52.937214,,0.31,2017-12-14,,24,24,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-08-02,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCK0OYLYFLY00,permissioned,"West Trent Works, Wilford Crescent",342,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457676.8985000001&xmax=457752.3491000002&ymin=338026.1702999994&ymax=338098.89949999936",,
yes,,2017-12-14,-1.140218,52.945875,,0.94,2019-08-12,,150,150,DevelopmentDescription: Permission for 150 dw; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2019-06-11,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PGBI1PLYGB300,permissioned,Canal Quarter - Crocus Street Southpoint,347,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457721.25&xmax=457872.4500000002&ymin=338996.0254999995&ymax=339066.5",,
,2019-03-31,2017-12-14,-1.167829,52.954021,,0.08,2017-12-14,,0,0,DevelopmentDescription: Redevelopment to provide 16 residential apartments following demolition.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2014-09-09,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N724A7LYCB000,permissioned,Land between Bancroft and 4 Barrack Lane,360,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455956.0965999998&xmax=456006.54810000025&ymin=339939.5025999993&ymax=339968.9043000005",,
