Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,,,,,0.96,2020-04-29,187,0,0,"13/02135/FULM. Erection of 1 no. part 4/part 5 storey building comprising 175no. apartments and 1 no. 3 storey building comprising 12no. apartments with associated access, parking and landscaping",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,York Barbican Paragon Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-022
yes,,,,,,0.12,2020-04-29,8,0,0,14/01191/FUL. Residential development to include 6no. apartments and 2no. houses with associated parking and landscaping,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Garage Court Site at Challoner Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-013
yes,,,,,,0.15,2020-04-29,6,0,0,"14/01857/FUL. Additional floor to accommodate 6no. roof top apartments with three new staircase pods and associated cycle stores, bin stores and parking to 1-12 Kensal Rise",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,1-12 Kensal Rise,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-014
yes,,,,,,4.1,2020-04-29,683,0,0,"15/01709/OUTM. Outline application for Blocks G and H comprising either use class C3 or C2 and flexible commercial uses. Full application for Block D (186 residential units); and Block F (101 residential units), community centre (use class D1) and multi-storey car park",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,outline planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,"Hungate Development Site (Blocks D, F, G & H)",https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-025
yes,,,,,,0.03,2020-04-29,6,0,0,15/02295/FUL. Erection of 3 storey block of 6 no. Apartments,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Car Parking Area Holgate Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-003
yes,,,,,,0.06,2020-04-29,8,0,0,"16/01532/FUL. Conversion of upper floors of 4-6 Church Street and 26-30 Swinegate (use Class B1a) to form 8no. apartments, bin/recycling storage at ground floor and alterations to ground floor shop front",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,26-30 Swinegate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-009
yes,,,,,,0.02,2020-04-29,8,0,0,16/02710/ORC. Proposed change of use from offices to flats (use class C3) under Class J Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 (resubmission),City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,other,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Mack & Lawler Builders Ltd 2a Low Ousegate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-001
yes,,,,,,2.35,2020-04-29,258,0,0,17/00284/FULM. Conversion and extension of the former Confectionery blocks to 258no. apartments; demolition of buildings and extension to accommodate concierge and community room; erection of convenience store,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,The Cocoa Works Haxby Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-024
yes,,,,,,0.07,2020-04-29,17,0,0,17/00580/FULM. Conversion of ground floor public house (use class A4) to retail (use class A1) with new shop front and change of use of first and second floors to student residential accommodation (18no. studio apartments) with first floor rear extension,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,The Fleeting Arms 54 Gillygate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-010
yes,,,,,,0.24,2020-04-29,73,0,0,16/02022/ORC. Proposed change of use from offices to 73 apartments (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,other,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Ryedale House 58-60 Piccadilly,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-017
yes,,,,,,0.55,2020-04-29,127,0,0,"17/00576/FULM. Erection of 4 no. buildings comprising 127no. flats (C3), office (B1a) use and office or restaurant (B1 or A3) uses following the demolition of existing office building (B1a)",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Hudson House Toft Green,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-021
yes,,,,,,0.16,2020-04-29,32,0,0,15/01571/FULM. Erection of four storey block for student accommodation (84 units) following demolition of existing building,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Coal Yard 11 Mansfield Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-015
yes,,,,,,0.48,2020-04-29,60,0,0,17/00474/ORC. Proposed change of use from offices (use class B1a) to 60no. apartments (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 (previously approved app: 16/02631/ORC),City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,other,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Land Registry James House James Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-019
yes,,,,,,0.11,2020-04-29,8,0,0,17/00732/FUL. Erection of three storey building comprising 8no. Apartments,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Buildmark House George cayley Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-011
yes,,,,,,0.05,2020-04-29,10,0,0,15/02888/FUL. Conversion of guesthouse (use Class C1) to 10no. flats (use class C3),City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Former Saxon House 71-73 Fulford Road,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-008
yes,,,,,,0.04,2020-04-29,10,0,0,"17/01468/FULM. External alterations relating to retained ground floor public house and renovation of upper floors to form two flats, and demolition of extensions and construction of two residential blocks to rear forming 9no flats",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,The Falcon Tap 94 Micklegate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-005
yes,,,,,,0.12,2020-04-29,11,0,0,17/01541/ORC. Proposed change of use of 46-48 Bootham from offices (use class B1a) to 11no. dwellings (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 as amended,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,other,https://www.york.gov.uk/SearchPlanningApplications,permissioned,,Smiths Gore 48 Bootham,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-012
yes,,,,,,0.02,2020-04-29,10,0,0,17/02991/FULM. Erection of 4-storey residential block with 10no. flats and associated parking following demolition of car repair garage,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,,,Simons Auto Services 17 Mansfield Street,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-026
yes,,,,,,0.25,2020-04-29,196,0,0,17/03032/REMM. Reserved matters application for Block G comprising 196 residential units with commercial floorspace at ground floor (retail/leisure uses),City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,reserved matters approval,https://www.york.gov.uk/SearchPlanningApplications,,,Hungate Development Site (Block G),https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-025a
yes,,,,,,0.04,2020-04-29,16,0,0,"17/02451/ORC. Proposed change of use of first, second and third floor offices (use class B1) to 16no. residential units (use class C3), under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 as amended",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,other,https://www.york.gov.uk/SearchPlanningApplications,,,Bank of Scotland 6 Nessgate,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-028
yes,,,,,,0.11,2020-04-29,24,0,0,17/02624/ORC. Proposed change of use of office (use class B1) to 24no. residential units (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 as amended,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,other,https://www.york.gov.uk/SearchPlanningApplications,,,23 Piccadilly,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-031
yes,,,,,,0.11,2020-04-29,9,0,0,18/00739/FUL. Erection of three storey building forming 9no. apartments.,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,,,Nova 2 George Cayley Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-032
yes,,,,,,0.13,2020-04-29,6,0,0,17/03067/FUL. Erection of two storey building comprising of 6no. residential apartments with associated parking and landscaping,City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,full planning permission,https://www.york.gov.uk/SearchPlanningApplications,,,Land to West of Block D Aviator Court,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-034
yes,,,,,,39.62,2020-04-29,1100,0,0,"15/00524/OUTM. Outline application for the development of the site comprising up to 1,100 residential units, community uses (D1/D2) and new public open space with details of access and demolition of the Former Manor School buildings. This is a draft housing allocatio",City of York Council,http://opendatacommunities.org/id/unitary-authority/york,not owned by a public authority,,outline planning permission,https://www.york.gov.uk/SearchPlanningApplications,,,British Sugar Corporation Ltd Plantation Drive,https://www.york.gov.uk/downloads/download/150/brownfield-land-register,BR-037a
