Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2020-03-12,-2.155416,52.482299,,0.16,2020-03-12,,4,4,Planning Application reference P20/0059/PIP,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2020-02-20,permission in principle,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Shouster House, Ridge Hill, Brierley Hill Road, Wordsley, DY8 5ST",DEVOPP0136,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0136,,,
,2020-03-12,2017-11-27,-2.114695,52.463293,,0.23,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2017-06-28,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,Land on the corner of Thorns Road/Caledonia,DEVOPP0051,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0051,,,
,2020-03-12,2017-11-27,-2.024893,52.476225,,7.51,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,pending decision,"Excelsior Industrial Esate, Cakemore Road, Rowley Regis, B65 0QX",DEVOPP0053,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0053,,,
,2020-03-12,2017-11-27,-2.142114,52.506962,,7.25,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,pending decision,"Former Ibstock Brickwork Site, Tansey Green Road, Pensnett, West Midlands, DY6 7NA",DEVOPP0050,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0050,,,
,2017-12-19,2016-06-30,-2.026877,52.463396,,0.22,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2015-04-23,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"WAGGON AND HORSES PUBLIC HOUSE (DERELICT), 166, LONG LANE, HALESOWEN, B62 9EJ",DEVOPP0019,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0019,,,
,2020-03-12,2016-06-30,-2.096126,52.539817,,0.18,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2017-05-19,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"169, IVYHOUSE LANE, COSELEY, BILSTON, WV14 9LA",DEVOPP0004,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0004,,,
,,2020-03-12,-2.103961,52.454109,,0.08,2020-03-12,,5,5,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land between 4 and 12 Seymour Road, Stourbridge, DY9 8TB",DEVOPP0061,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0061,,,
,2020-03-12,2016-06-30,-2.026193,52.470146,,0.14,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2015-08-19,outline planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"W MERRIS AND SON - HAULAGE, NARROW LANE, HALESOWEN, B62 9PB",DEVOPP0008,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0008,,,
,,2020-03-12,-2.146812,52.523916,,0.64,2020-03-12,,23,23,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"The Straits, Lower Gornal",DEVOPP0126,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0126,,,
,,2020-03-12,-2.090541,52.480913,,0.79,2020-03-12,,27,27,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land between Heath Road and Copse Road, Netherton",DEVOPP0097,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0097,,,
,,2020-03-12,-2.090924,52.474826,,1.9,2020-03-12,,45,45,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Griff Chains, Quarry Road, Netherton",DEVOPP0082,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0082,,,
,,2020-03-12,-2.08941,52.504946,,0.36,2020-03-12,,9,9,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"The Claughton Centre, Blowers Green Road, Dudley, DY2 8UZ",DEVOPP0135,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0135,,,
,,2016-06-30,-2.132258,52.499964,,0.05,2020-03-12,,6,6,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land at High Oak & Bradley Street, Pensnett, Brierley Hill, West Midlands",DEVOPP0009,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0009,,,
,,2016-06-30,-2.082975,52.462693,,0.19,2020-03-12,,7,7,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land at corner of Intended Street and HIghtown, Cradley, Halesowen, B63 2TR",DEVOPP0017,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0017,,,
,,2020-03-12,-2.112523,52.459374,,1.42,2020-03-12,,140,140,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"North of Providence Street / south of the railway line, Lye",DEVOPP0111,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0111,,,
,2017-12-19,2016-06-30,-2.084685,52.512274,,0.16,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,2015-04-24,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"ASHLEIGH HOUSE, 2, EDNAM ROAD, DUDLEY, DY1 1HL",DEVOPP0005,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0005,,,
,2020-03-12,2016-06-30,-2.157633,52.492798,,0.35,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2015-05-01,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"THE SUMMERHOUSE, THE PORTWAY, KINGSWINFORD, WEST MIDLANDS, DY6 8HW",DEVOPP0003,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0003,,,
,,2020-03-12,-2.094071,52.46219,,2.86,2020-03-12,,80,80,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,outline planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,pending decision,"Former Factory Site, Park Lane, Cradley",DEVOPP0077,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0077,,,
,2020-03-12,2017-11-27,-2.157522,52.447772,,0.61,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,2017-03-29,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Mere Road, Norton",DEVOPP0046,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0046,,,
,2020-03-12,2016-06-30,-2.089267,52.507771,,0.17,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,2016-01-26,outline planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"FORMER FAMILY AND COMMUNITY SUPPORT SERVICES, GREYSTONE PASSAGE, DUDLEY, DY1 1SJ",DEVOPP0012,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0012,,,
,2020-03-12,2016-06-30,-2.125102,52.499444,,0.6,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,2017-03-20,outline planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"THE EDUCATION CENTRE, CHURCH STREET, PENSNETT, BRIERLEY HILL, DY5 4HB",DEVOPP0018,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0018,,,
,2020-03-12,2016-06-30,-2.106888,52.456858,,0.2,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2015-07-13,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Land at corner of Attwood Street and, Brook Street, Lye, Stourbridge, West Midlands",DEVOPP0013,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0013,,,
,,2020-03-12,-2.131004,52.499431,,0.16,2020-03-12,,11,11,Planning Application reference P18/1230,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2019-03-28,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Land at 7, High Oak, Pensnett, Brierley Hill",DEVOPP0092,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0092,,,
,,2020-03-12,-2.154177,52.454972,,2.28,2020-03-12,,52,52,Planning Application reference P19/0626,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2019-09-16,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Longland site, Bowling Green Road, Stourbrdige",DEVOPP0108,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0108,,,
,,2020-03-12,-2.0831,52.491699,,0.06,2020-03-12,,9,9,Planning Application reference P17/0401,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2017-10-10,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Champions Chruch, 25, St Giles Steet, Netheron, Dudley, DY2 0PR",DEVOPP0062,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0062,,,
,,2020-03-12,-2.155314,52.469509,,1.4,2020-03-12,,45,45,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Platts Road, Amblecote",DEVOPP0114,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0114,,,
,,2020-03-12,-2.110072,52.509804,,0.29,2020-03-12,,13,13,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,pending decision,"Garage site adjacent Hinbrook Road, Dudley",DEVOPP0081,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0081,,,
,,2020-03-12,-2.079416,52.555016,,0.53,2020-03-12,,13,13,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,Land adj. To 49 Highfields Road,DEVOPP0090,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0090,,,
,,2020-03-12,-2.133461,52.486399,,2.17,2020-03-12,,57,57,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,Land off Leys Road/ High Street Brockmoor (Cookley Wharf),DEVOPP0101,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0101,,,
,,2020-03-12,-2.145638,52.50988,,7.9,2020-03-12,,200,200,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Stallings Lane/Oak Lane, Kingswinford",DEVOPP0123,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0123,,,
,2020-03-12,2016-06-30,-2.117101,52.532828,,0.16,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2015-11-18,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"127, DUDLEY ROAD, SEDGLEY, DUDLEY, DY3 1TF",DEVOPP0011,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0011,,,
,2020-03-12,2017-11-27,-2.146357,52.471442,,0.56,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,2017-03-29,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Land adj to the Unicorn Centre, King William Street/Brettell Lane, Amblecote, Stourbridge DY8 4BP",DEVOPP0048,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0048,,,
,2020-03-12,2017-11-27,-2.117595,52.440271,,0.34,2017-12-19,,,,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,pending decision,"Land to rear of 46-72 Wychbury Road, WOLLESCOTE, DY9 9HR",DEVOPP0047,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0047,,,
,,2020-03-12,-2.030889,52.471878,,0.49,2020-03-12,,21,21,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Leona Industrial Estate, Nimmings Road",DEVOPP0106,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0106,,,
,,2016-06-30,-2.128883,52.514244,,0.24,2020-03-12,,7,7,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land adj 388, Himley Road, Dudley, DY3 2QA",DEVOPP0010,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0010,,,
,,2020-03-12,-2.135587,52.475027,,1.47,2020-03-12,,65,65,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Former Brick Works, North of Brettell Lane",DEVOPP0076,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0076,,,
,,2020-03-12,-2.161239,52.498318,,0.45,2020-03-12,,21,21,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Hampshire House, 434 High Street",DEVOPP0084,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0084,,,
,,2020-03-12,-2.093578,52.501548,,0.67,2020-03-12,,33,33,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Vacant land rear of 6 to 22, Blowers Green Crescent, Dudley",DEVOPP0129,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0129,,,
,,2020-03-12,-2.155535,52.476486,,2.34,2020-03-12,,63,63,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land at Plant Street, Mill Street and Bridge Street, Wordsley",DEVOPP0096,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0096,,,
,,2020-03-12,-2.16661,52.492501,,0.46,2020-03-12,,9,9,Planning Application reference P18/1702,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,2019-02-07,full planning permission,https://mapping.dudley.gov.uk/atMyDudley.aspx,permissioned,"Land adj. to new Bradley Hall Care Home, Off Compton Drive, Kingswinford, DY6 9NS",DEVOPP0064,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0064,,,
,,2016-06-30,-2.106461,52.499989,,0.3,2020-03-12,,8,8,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land to rear of 147-155, Stourbridge Road, Dudley, DY1 2EP",DEVOPP0016,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0016,,,
,,2016-06-30,-2.084729,52.488777,,0.13,2020-03-12,,7,7,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Dental Surgery, 1, Marriott Road, Netherton, Dudley, DY2 0LN",DEVOPP0015,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0015,,,
,,2016-06-30,-2.080967,52.489982,,0.12,2020-03-12,,6,6,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Northfield Tyres and Spares, 145 Northfield Road, Netherton, Dudley, DY2 9ET",DEVOPP0006,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0006,,,
,,2020-03-12,-2.136305,52.473263,,1.49,2020-03-12,,55,55,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land south of Brettel Lane, Brierley Hill",DEVOPP0104,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0104,,,
,,2020-03-12,-2.146879,52.453973,,0.06,2020-03-12,,8,8,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Tudor House, 2, Worcester Street, Stourbridge, DY8 1AN",DEVOPP0131,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0131,,,
,,2020-03-12,-2.04251,52.453081,,0.37,2020-03-12,,32,32,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Shenstone Court, Forge Lane, Halesowen",DEVOPP0119,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0119,,,
,,2020-03-12,-2.04671,52.46386,,4.65,2020-03-12,,65,65,,,http://opendatacommunities.org/id/metropolitan-district-council/dudley,not owned by a public authority,,,https://mapping.dudley.gov.uk/atMyDudley.aspx,not permissioned,"Land off Lodgefield Road, Halesowen",DEVOPP0102,https://mapping.dudley.gov.uk/atMyDudley.aspx?MapSource=DMBC/AllMaps&SearchLayer=brownfield_register&SearchField=br_reference&SearchValue=DEVOPP0102,,,
