Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-22,-1.547787,54.520486,,2.16,2020-03-23,60,60,60,Cattle Mart and associated car park. Commercial use to be relocated. Potentially not deliverable in the short term but an option for brownfield housing development of appoximately 60 units.,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Cattle Mart,11,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.558688,54.545509,,7.26,2020-03-23,219,219,219,Largely cleared brownfield site. Potential for brownfield housing development of approximately 219 units,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,"Former Corus Site, Whessoe Road",26,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.544582,54.52999,,0.49,2020-03-23,17,17,17,Current car park. Potential for brownfield housing development of approximately 17 units.,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Chesnut Street Car Park,136,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.543022,54.531537,,0.86,2020-03-23,23,23,23,Site currently in commercial use. Site has been actively marketed. Potential for brownfield housing development of approximately 23 units.,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Site East off Dumfries Street,172,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.546411,54.53341,,2.06,2020-03-23,30,30,30,Outline application for residential development (Revised Application),Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Eastmount Road Coal Depot,237,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.519857,54.529686,,0.44,2020-03-23,12,12,12,Vacant car park. Potential for brownfield housing development of approximately 12 units.,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Car Park East of McMullen Road,377,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2020-03-23,-1.542929,54.515218,,0.62,2020-03-23,20,20,20,Cleared and decontaminated site of Gasometer near Valley Street,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Former Gasometer,369,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2020-03-23,-1.542898,54.514897,,0.14,2020-03-25,48,48,48,Regeneration site of Northgate House (Previous permissioend for Housing use currently permissioned for Hotel use,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,2018-01-31,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,permissioned,Northgate House,228,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2020-03-23,-1.542879,54.514836,,0.13,2020-03-23,48,48,48,Regeneration site of Dr Piper House,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Dr Piper House,395,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2020-03-23,-1.542869,54.514466,,0.22,2020-03-23,50,50,50,Former Argos and ST T Charity Shop,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,12-18 Skinnergate,412,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2020-06-23,-1.542909,54.514905,,0.21,2020-06-23,15,15,15,Current Car Park of High Northgate,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,owned by public authoriy,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Garden Street Car Park,416,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2020-06-23,-1.54288,54.516161,,0.47,2020-06-23,22,22,22,Vacant site on Meynell Road,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Meynell Road,415,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,,-1.542874,54.514387,,0.05,2021-09-09,15,15,15,Vacant former Building society 3 storey building,Darlington BC,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Former Building Society Skinnergate,417,http://www.darlington.gov.uk/brownfieldlandregister,,,
