Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-01,-1.318422,51.062876,,0.06,2018-12-01,26,26,26,Change Of Use from B1 to 26 1 Bed Flats,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2017-03-29,other,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,Trafalgar House Trafalgar Street,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/01
yes,,2017-12-01,-1.297766,51.072762,,0.11,2018-12-01,12,12,12,(Prior Approval) Change Of Use from B1(A) Office to 12 x Studio Flats.,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2015-10-30,other,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,Co-Operative Group Ember House Moorside Road,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/02
yes,,2017-12-01,-1.338881,51.063182,,0.5,2018-12-01,5,5,5,Demolition of exisitng buildings and erection of 6 x Houses.,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2017-01-09,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,15 Chilbolton Avenue,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/03
yes,,2017-12-01,-1.337655,51.056126,,0.06,2018-12-01,5,5,5,Erection of 5 x 1 Bed affordable housing units.,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,owned by a public authority,2017-05-09,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,Garage Court Bailey Close,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/04
yes,,2017-12-01,-1.319071,51.059472,,0.09,2018-12-01,6,6,6,"Demolition of exisitng Snooker Centre and erection of 5No. 3 Bed, 1No. 2 Bed Dwellings and a Commercial Building.",Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2015-07-21,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Winchester Snooker Centre, Radley House 8 St Cross Road",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/05
yes,,2017-12-01,-1.317455,51.062664,,0.03,2018-12-01,8,8,8,Retention of lower ground & ground Floor Offices & Change Of Use of First & Second Floor from B1 (Office) to 4x1 Bed & 4 x 2 Bed Flats,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2017-03-23,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,Regency House 2 - 4 Southgate Street Winchester Hampshire SO23 9EF,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/06
yes,,2017-12-01,-1.311803,51.061731,,0.08,2018-12-01,7,7,7,Redevelop Exisitng Facades on High St & Market St. Change Of Use of 2 Floors from A1 & erection of a 3rd floor to create 7 x Duplex flats,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2016-12-21,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,9-11 High Street,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/07
yes,,2017-12-01,-1.173236,51.084519,,0.35,2018-12-01,8,8,8,Erection of 6 x1 Bed and 2 x 2 Bed Affordable Flats Following Demolition of Exisitng Garages.,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,owned by a public authority,2016-03-03,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,11-16 Garage Block Mitford Road,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/08
yes,,2017-12-01,-1.069951,50.895773,,0.5,2018-12-01,24,24,24,Change of use of existing B1(a) offices (within 2x separate blocks) to provide a total of 24. No Class C3 Dwellings together with on-site car parking.,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2016-09-01,other,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Brymor House & Ocean House Parklands Business Park, Forest Rd",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/09
yes,,2017-12-01,-1.186954,50.925558,,0.31,2018-12-01,7,7,7,"Demolition of Rest Home and erection of 2No.2 Bed, 2No3 Bed, 3No. 4 Bed and 1No. 5 Bed Dwellings.",Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2015-11-27,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,Hill House Rest Home High Street Shirrell Heath,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/10
yes,,2017-12-01,-1.167087,51.0914,,0.63,2018-12-01,45,45,45,Demolition of existing buildings to provide 45 new dwellings,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2018-03-21,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Huxley UK Ltd The Dean, New Alresford",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/11
yes,,2018-12-01,-1.333346,51.074976,,0.14,2018-12-01,7,7,7,Removal of Church (D1 340M2) & Bungalow. Erection of 8 Dwellings,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2017-05-17,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"St Thomas More Catholic Church, Stoney Lane, Winchester",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/12
yes,,2018-12-01,-1.297666,51.072753,,0.14,2018-12-01,8,8,8,3 Storey extension to accommodate 8 additional apartments,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2017-12-19,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Gentian House, Moorside Road, Winchester",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/13
yes,,2018-12-01,-1.33916,51.060612,,0.4,2018-12-01,29,29,29,Demolition & Redevelopment to form 29 Sheltered Apartments for the elderly,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2018-01-05,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Kings School House , Sarum Road, Winchester",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/14
yes,,2018-12-01,-1.323274,51.066789,,0.11,2018-12-01,8,8,8,Demolition of former Trinity Centre. Erection of 8No Dwellings,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2018-01-24,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Dance Academy, 21 St Pauls Hill, Winchester",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/15
yes,,2018-12-01,-1.161102,51.089127,,0.11,2018-12-01,10,10,10,Demolition of existing Buildings and erection of 10 2Bed Apartments,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2018-01-05,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Police House, Station Road",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/16
yes,,2018-12-01,-1.069561,50.895348,,0.15,2018-12-01,8,8,8,Conversion of existing floors(B1A Use) to form Residential Accomodation (8 Flats),Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2017-12-14,other,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"WCI Technology House, Parklands Business Park, Forest Road, Denmead",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/17
yes,,2018-12-01,-1.202917,50.938968,,0.19,2018-12-01,5,5,5,Redevelopment of site to provide 5 houses,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,not owned by a public authority,2018-01-31,full planning permission,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,,"Jhansi Farm, Clewers Lane, Waltham Chase",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/18
yes,,2018-12-01,,,,,2018-12-01,31,31,31,,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,,,,http://www.winchester.gov.uk/planning-policy/evidence-base/housing/shlaa-strategic-housing-land-availability-assessment,not permissioned,,"Kings Worthy House & Kingsworthy Court, Court Road",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/19
yes,,2018-12-01,,,,,2018-12-01,10,10,10,,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,,,,http://www.winchester.gov.uk/planning-policy/evidence-base/housing/shlaa-strategic-housing-land-availability-assessment,not permissioned,,"The Grove, Hinton Fields",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/20
yes,,2018-12-01,,,,,2018-12-01,5,5,5,,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,,,,http://www.winchester.gov.uk/planning-policy/evidence-base/housing/shlaa-strategic-housing-land-availability-assessment,not permissioned,,"Boat Club, Domum Road",http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/21
yes,,,,,,,2019-12-22,53,53,53,,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,,,,http://www.winchester.gov.uk/planning-policy/local-plan-part-2-development-management-allocations/lpp2-adoption,not permissioned,,Clayfield Park,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/22
yes,,,,,,,2019-12-22,100,100,100,,Winchester City Council,http://opendatacommunities.org/id/district-council/winchester,,,,http://www.winchester.gov.uk/planning-policy/local-plan-part-2-development-management-allocations/lpp2-adoption,not permissioned,,Morgan?s Yard,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,BLR18/23
