Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-19,0.158017,52.668836,,0.063921,2017-12-19,,11,11,"Erection of 2 x 2-bed houses and 9 flats with balconies comprising of 1 x 3-bed, 3 x 2-bed and 5 x 1-bed with parking under, involving demolition of existing building",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,full planning permission,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JEJ0UJHEO1000,permissioned,"Land at, 35 North End, Wisbech, PE13",BLR0001,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,,2017-12-19,0.179328,52.671771,,0.647694,2017-12-19,,14,14,"Erection 14 houses comprising; 2 x 4-bed detached, 4 x 3/4-bed semi-detached, 4 x 3-bed semi-detached, 2 x 3-bed semi-detached 2 and a half-storey and 2 x 2/3-bed semi-detached with associated garages, parking, bin store and landscaping, alterations to e",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,full planning permission,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=KS8EA5HE08000,permissioned,"The Bell 35, KIRKGATE STREET, WISBECH",BLR0011,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,,2017-12-19,0.166758,52.662595,,0.348293,2017-12-19,,10,10,"Erection of 10 houses comprising; 4 x 2-bed semi-detached, 4 x 3-bed semi-detached and 2 x 3/4-bed semi-detached with integral car port, associated parking and landscaping including 1.8 metre high walls and close boarded fencing involving demolition of e",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,full planning permission,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=LQ64KOHE01U00,permissioned,"AWARE HOUSE LEARNING DEVELOPMENT AIDS LIMITED, DUKE STREET, WISBECH, CAMBRIDGESHIRE, PE13 2AE",BLR0008,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,2019-12-19,2017-12-19,0.169308,52.481123,,0.27611,2019-12-19,,6,6,Erection of 6 dwellings involving demolition of existing dwelling and replacement fence to No.16 (renewal of planning permission F/YR10/0254/O),,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,outline planning permission,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MNAPFYHE06P00,permissioned,"18, Westfield Road, Manea, MARCH, PE15 0LN",BLR0005,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,,2017-12-19,0.077464,52.553862,,0.788642,2017-12-19,,14,14,"Erection of 14 x 3-storey dwellings comprising; 3 x 5-bed with attached single garages; 4 x 5-bed with associated parking (plot 1 with detached double garage); 3 x 4-bed and 4 x 3-bed all with associated parking, involving part demolition of existing war",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,reserved matters approval,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N1IC4EHE08000,permissioned,"Land East of Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",BLR0004,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,2019-12-19,2017-12-19,-0.132061,52.559126,,0.803615,2019-12-19,,30,30,"Erection of 30no dwellings comprising of 15 x 2-storey 2-bed, 10 x 2-storey 3-bed, 1 x 2-storey 4-bed, 3 x 3-storey 3-bed and 1 x 2-bed flat with garage block below and associated parking involving demolition of existing dwelling and buildings",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,full planning permission,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MSYJ73HE01U00,permissioned,"64, Whitmore Street, 17 and 11 Windmill Street, WHITTLESEY, PE7 1HP",BLR0009,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,2021-12-19,2017-12-19,0.089305,52.558458,,0.256369,2017-12-19,,6,6,"Monitoring team now consider site to be lapsed and therefore insufficient evidence site is achievable and available. Site previously had planning permission for erection of 6 x 3-storey, 3-bed dwellings with balcony to front and integral garage and 4 x 3",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,reserved matters approval,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NE3PAKHE08000,permissioned,"Land South West Of Queen Street Close March Cambridgeshire , PE15 8NB",BLR0012,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,,2017-12-19,0.157406,52.674254,,65.913639,2017-12-19,,300,300,"Local Plan allocation for mixed-use regeneration located east of the River Nene and north of the town centre to provide housing, leisure, retail and employment. Sites around the boathouse will include leisure and retail (in addition to housing), and the",,http://opendatacommunities.org/id/district-council/fenland,mixed ownership,,,,not permissioned,"Nene Waterfront and Port, Wisbech",BLR0014,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,2019-12-19,2017-12-19,-0.1185,52.554624,,0.798334,2019-12-19,,12,12,"Erection of 12 dwellings with garages comprising; 6 x 3-bed single-storey, 4 x 3-bed 2-storey and 2 x 4-bed 2-storey, involving demolition of existing dwelling and outbuilding",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,full planning permission,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NQ1HMYHE08000,permissioned,"100, Mill Road, Whittlesey, Cambridgeshire, PE7 1SW",BLR0006,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
yes,2019-12-19,2017-12-19,0.045187,52.462493,,0.175991,2019-12-19,,5,5,Details reserved by Condition 9 of planning permission F/YR17/1240/F (Erection of 5 x 3-storey 3-bed dwellings and 1 x 2-bed flat involving demolition of existing buildings and alteration to vehicular access) | Site Of Former 54 Bridge Street Chatteris C,,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,,reserved matters approval,https://www.publicaccess.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=PIHLVUHE0D800,permissioned,Site Of Former 54 Bridge Street Chatteris Cambridgeshire,BLR0013,https://fenland.gov.uk/media/17400/Brownfield-Register-Site-Maps/pdf/BLR-2021-Site-Plans.pdf,,,
