Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-03-31,0.710936,51.535399,,0.053,2017-03-31,9,9,9,"3 x 1 Bed Houses, 6 x 1 Bed Houses",Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2016-03-03,full planning permission,,permissioned,"48 Alexandra Street, Southend-On-Sea, Essex, SS1 1BJ",BR1,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.794553,51.539237,,0.42,2017-03-31,9,9,9,"1 x 1 Bed House, 7 x 1 Bed Houses and 1 x 1 Bed House",Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,owned by a public authority,2017-03-01,full planning permission,,permissioned,"Car Park Centurion Close, Shoeburyness, Essex, SS3 9UT",BR4,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.712511,51.540552,,0.189,2017-03-31,108,108,108,73 x 1 Bed Houses and 35 x 1 Bed Houses,Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2016-01-05,full planning permission,,permissioned,"Chartwell House Chartwell Square (Plaza Centre), Southend-On-Sea, Essex, SS2 5SP",BR5,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.713596,51.53916,,0.276,2017-03-31,98,98,98,"83 x 1 Bed Houses, 10 x 1 Bed Houses and 5 x 1 Bed Houses",Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2011-06-30,full planning permission,,permissioned,"Part Of Former Keddies Building And Maitland House Chichester Road, Southend-On-Sea, Essex, SS1 2JY",BR6,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.712727,51.537148,,0.296,2017-03-31,28,28,28,8 x 1 Bed Houses and 20 x 1 Bed Houses,Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2014-09-05,full planning permission,,permissioned,"8 (Central House) Clifftown Road, Southend-On-Sea, Essex, SS1 1AB",BR7,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.725024,51.532483,,0.049,2017-03-31,9,9,9,6 x 1 Bed Houses and 4 x 1 Bed Houses,Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2017-03-02,full planning permission,,permissioned,"6 (The Britannia) Eastern Esplanade, Southend-On-Sea, Essex, SS1 2ER",BR8,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.654016,51.544067,,0.066,2017-03-31,6,6,6,3 x 1 Bed Houses and 3 x 1 Bed Houses,Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2017-01-24,full planning permission,,permissioned,"57 - 59 (The Sarah Moore Public House) Elm Road, Leigh-on-Sea, Essex, SS9 1SP",BR9,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.712014,51.538495,,0.197,2017-03-31,140,140,140,140 x Flats (bedrooms unknown),Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2017-02-07,full planning permission,,permissioned,"9 Elmer Approach, Southend-On-Sea, Essex, SS1 1NE",BR10,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.715698,51.540541,,0.009,2017-03-31,1,1,1,1 x 1 Bed House,Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2016-09-13,full planning permission,,permissioned,"Venture House (First Floor) Essex Street, Southend-On-Sea, Essex, SS1 2NY",BR11,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
yes,,2017-03-31,0.715698,51.540541,,0.009,2017-03-31,1,1,1,1 x 1 Bed House,Southend Borough Council,http://opendatacommunities.org/id/unitary-authority/southend,not owned by a public authority,2016-09-13,full planning permission,,permissioned,"Venture House (Ground Floor) Essex Street, Southend-On-Sea, Essex, SS1 2NY",BR12,http://www.southend.gov.uk/downloads/200160/local_planning_framework,,,
