Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2018-12-01,0.256548,51.347068,,0.550185,2018-12-01,,31,31,"ST2-69 Potential contamination issues to be resolved. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"JD Hotchkiss Ltd, London Road, West Kingsdown",BFR139,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.171689,51.408239,,0.268043,2018-12-01,,9,9,ST2-58 It is important to retain the gap between Hextable and Swanley and to avoid encroachment here. Overall the southern portion of the site containing permanent buildings and glasshouses is considered able to accommodate development. Site reduced to previously developed land only.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"College Road Nurseries, College Road, Hextable",BFR133,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.17208,51.197682,,0.208537,2018-12-01,,8,8,ST2-46 Consideration should be given to any potential noise impact from the railway line.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Highways Depot, Tonbridge Road, Chiddingstone Causeway",BFR126,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.17891,51.379967,,0.662311,2018-12-01,,10,10,ST2-49 Additional information on site layout and massing is required alongside an assessment of the impact on the listed buildings.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Wested Farm, Eynsford Road, Crockenhill",BFR128,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.263865,51.405405,,0.921758,2018-12-01,,16,16,"Some agricultural use remains on site. ST2-63 Support retention of the existing tourist accommodation and commercial workshops as part of the wider scheme. If a wholly residential scheme is proposed, as part of the site is in existing employment and tourist accommodation use, it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Gills Farm, Gills Road, South Darenth",BFR135,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.050794,51.204111,,0.142163,2018-12-01,,5,5,ST2-31 The loss of sports facility buildings need to be addressed. Site has been reduced to previously developed land.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Kent & Surrey Driving Range, Crouch House Road, Edenbridge",BFR120,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
,,2018-12-01,0.150766,51.326057,,1.290106,2018-12-01,,37,37,"ST2-56 Site reduced to previously developed land and locally defined brownfield land only. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term. Potential contamination issues",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Oak Tree Farm, London Road, Halstead",BFR131,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
,,2018-12-01,0.244657,51.366164,,1.376787,2018-12-01,,55,55,ST2-50 Loss of existing use will need to be addressed.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Gorse Hill Nursery, Gorse Hill, Farningham",BFR129,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.197773,51.403817,,0.279275,2018-12-01,,6,6,"ST2-25 Site reduced to previously developed land only. Additional information on site layout and massing is required alongside an assessment of the impact on the conservation area. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Swanley Village Nursery, Swanley Village Road, Swanley Village",BFR119,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
,,2018-12-01,0.066587,51.189479,,0.762897,2018-12-01,,30,30,ST2-32 Site reduced to previously developed land only. Additional information on site layout and massing is required alongside an assessment of the impact on the conservation area and listed building. The loss of health facilities will need to be addressed.,,http://opendatacommunities.org/id/district-council/sevenoaks,owned by a public authority,,,,Not Permissioned,"Edenbridge & District War Memorial Hospital, Mill Hill, Edenbridge",BFR121,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
,,2018-12-01,0.195597,51.287722,yes,1.460518,2018-12-01,,73,73,ST2-6 The western parcel lies within an air quality management area and any development proposal would be subject to an air quality assessment. There are some concerns over amenity impact for neighbouring properties which could be addressed through high quality design. The loss of health facilities will need to be addressed.,,http://opendatacommunities.org/id/district-council/sevenoaks,owned by a public authority,,,,Not Permissioned,"Sevenoaks Hospital, Hospital Road, Sevenoaks",BFR134,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
,,2018-12-01,0.155935,51.324682,,2.001918,2018-12-01,,66,66,"ST2-45 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term. Any new development would need to assess the potential impact on the adjoining local wildlife site and ancient woodland and a 10m buffer is likely to be required.",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Calcutta Club and Polhill Business Centre, London Road, Badgers Mount",BFR125,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.305315,51.363788,,1.029828,2018-12-01,,35,35,ST2-38 The site features Tree Protection Orders (TPOs) on mature trees surrounding the boundary of the sites curtilage. Additional information on site layout and massing is required alongside an assessment of the impact on the listed building. B1(a) office floorspace should be included as part of the scheme to reflect existing use.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"The Manor House, North Ash Road, New Ash Green",BFR122,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.170187,51.401599,,2.011165,2018-12-01,,80,80,ST2-20 Site contains allocated open space which should be retained,,http://opendatacommunities.org/id/district-council/sevenoaks,owned by a public authority,,,,Not Permissioned,"White Oak Leisure Centre, Hilda May Avenue, Swanley",BFR118,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.298079,51.36327,,0.285107,2018-12-01,,14,14,"ST2-39 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"The Forge, Ash Road, New Ash Green",BFR123,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2018-12-01,0.174066,51.396054,,2.631314,2018-12-01,,250,250,ST2-16 Existing ADMP Allocation considered suitable for a higher density scheme.,,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,2019-07-26,full planning permission,https://pa.sevenoaks.gov.uk/online-applications/,pending decision,"Swanley Centre, Nightingale Way, Swanley",BFR117,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
yes,,2017-11-01,0.160061,51.30059,,0.228842,2018-12-01,,9,9,"ST2-15 As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,"Chauchers of Sevenoaks, London Road, Dunton Green",BFR19,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
,,2017-11-01,0.185603,51.313573,,0.462233,2018-12-01,,7,7,"ST2-41 The site lies within the Kent Downs AONB and partially within the Conservation Area. Given the existing use of this site, a residential development could contribute towards improving the character of the AONB. Additional information on site layout and massing is required alongside an assessment of the impact on the conservation area and listed building. As the site is in existing employment use it would need to be demonstrated that the use is no longer suitable, feasible or viable and that there is no reasonable prospect of the continued business use in the longer term.",,http://opendatacommunities.org/id/district-council/sevenoaks,not owned by a public authority,,,,Not Permissioned,,BFR08,https://maps.sevenoaks.gov.uk/brownfield_register/,,,
