Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2017-12-15,,,,0.85172,2017-12-15,40,40,60,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2007-06-22,,,not permissioned,Sturgeon Avenue - The Spinney,'9/702,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
,,2016-06-24,,,,1.07273,2016-06-24,75,75,125,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,"Canal Quarter - Waterway Street , Traffic Street",'9/527,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
,,2017-12-15,,,,3.34493,2017-12-15,50,50,80,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,"Waterside - Cattle Market, Cattle Market Road",'9/1638,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2017-12-15,,,,0.55261,2017-12-15,26,26,26,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-12-22,full planning permission,,permissioned,Site Of Mellors Court Sullivan Close Nottingham,'9/2287,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2017-12-15,,,,1.01335,2017-12-15,29,29,29,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-09-06,outline planning permission,,permissioned,"Ellis and Everard site, Haydn Road",'9/169,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2017-12-15,,,,0.35421,2017-12-15,20,20,20,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,,,,not permissioned,"William Olds Youth Centre, 84 Chiltern Way",'9/2258,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2016-06-24,,,,0.10946,2016-06-24,6,6,6,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2013-07-10,full planning permission,,permissioned,198 Sneinton Dale,'9/2014,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2017-12-15,,,,0.09556,2017-12-15,11,11,11,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-10-14,full planning permission,,permissioned,"2 - 4 , Clinton Terrace, Derby Road NG7 1LY",'9/2181,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2016-06-24,,,,0.2523,2016-06-24,7,7,7,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2014-02-17,full planning permission,,permissioned,"St Peters Vicarage And Church Hall, 177 Hartley Road",'9/1917,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
yes,,2016-06-24,,,,0.02958,2016-06-24,8,8,8,,Nottingham City Council,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2012-02-09,full planning permission,,permissioned,Car park site of 192 North Sherwood Street,'9/1793,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",,,
