Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-14,-3.01868,53.921435,,0.05,2020-10-27,9,9,9,Erection of six two bedroomed and three one bedroomed self-contained apartments with parking to the rear (resubmission of 13/00712/FULMAJ),Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2015-04-20,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"52-60 Poulton Road, Fleetwood",BR003,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-14,-3.005927,53.888771,,4.11,2020-10-27,186,186,186,Residential development consisting of 186 dwellings. Technical commencement,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2012-10-10,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Land north and east of Bourne Road, Thornton.",BR004,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-14,-2.988458,53.850689,,0.12,2020-10-27,12,12,12,Erection of 16 apartments in a three storey block including access and car parking,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2019-02-07,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Royal Oak, 64 Breck Road, Poulton",BR005,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-14,-2.962063,53.921991,,0.12,2017-12-14,6,6,6,"Reserved matters application for the appearance, landscaping and scale of six dwellings, following outline approval 11/00599/OUT",Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2016-01-22,reserved matters approval,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Preesall Service Station, Sandy Lane, Preesall",BR006,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-14,-2.992506,53.844418,,0.14,2017-12-14,12,12,12,Reserved matters application for the appearance and landscaping of 7 town houses and 6 apartments following outline approval 11/00765/OUTMAJ. Technical commencement.,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2016-01-14,reserved matters approval,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Brimelows Garage, 54 Hardhorn Road, Poulton",BR007,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-14,-2.978081,53.830047,,1.18,2019-10-30,9,9,9,Reserved matters application for the erection of nine detached dwellings (following outline approval 17/00410/OUTMAJ). Technical commencement.,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2017-09-27,reserved matters approval,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Fairfield Nurseries, Puddle House Lane, Poulton",BR008,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-14,-3.006143,53.924354,,0.05,2020-10-27,5,5,5,Erection of three 3 bed dwellings and two 1 bed flats. Planning permission expires 29.6.19,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2016-07-25,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Rear The Steamer, Victoria Street, Fleetwood",BR014,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
,,2017-12-14,-3.012169,53.927979,,0.22,2019-10-30,,,,,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,,outline planning permission,https://publicaccess.wyre.gov.uk/online-applications/,pending decision,"Fleetwood Pier, The Esplanade, Fleetwood",BR018,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2017-12-15,-3.032135,53.864379,,3.74,2020-10-27,142,142,142,Housing estimates reflects planning permission for 82 dwellings and the remaining housing allocations (60 dwellings) identified in the Wyre adopted local plan. Part of the site has full planning permission for retail use but this does not affect the housing capacity of the site. The adjacent site has planning permission for 158 dwellings and is under construction.,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"North of Norcross Lane, Thornton Cleveleys",BR020,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
,,2017-12-15,-3.017116,53.912846,,32.67,2019-10-30,120,120,120,The site is allocated for 120 dwellings in the adopted Wyre Local Plan,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,,,https://publicaccess.wyre.gov.uk/online-applications/,,"South of Fleetwood Dock, Fleetwood",BR021,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2018-09-30,-3.012866,53.922769,,0.2,2020-10-27,19,19,19,Housing estimate reflects planning permission - Part demolition and part refurbishment to create 19 residential units and 3 dwellings; erection of 4 dwellings and a 12 unit flat development,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2017-12-21,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Former Fleetwood Health Centre, London Street, Fleetwood",BR025,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2018-09-30,-3.008473,53.827072,,0.07,2018-09-30,7,7,7,Housing estimate reflects planning permission - Erection of 8 apartments following demolition of existing residential dwelling,Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2018-06-06,full planning permission,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"15 Newton Drive East, Normoss",BR028,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
yes,,2018-09-30,-2.785418,53.961251,,0.37,2019-10-30,3,3,3,"Reserved matters application for appearance, landscaping, layout and scale for the erection of three detached dwellings (following outline application 16/00354/OUT)",Wyre Council,http://opendatacommunities.org/id/district-council/wyre,not owned by a public authority,2019-07-31,reserved matters approval,https://publicaccess.wyre.gov.uk/online-applications/,permissioned,"Bloomfield Garage, Cockerham Road, Forton",BR029,https://wyre.maps.arcgis.com/apps/View/index.html?appid=4135b23d4bb04469a3a533a759ade8e8,,,
