Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-18,-0.387427,54.284113,,0.04,2017-12-18,8,8,8,Proposed alterations and refurbishment of redundant museum building to form 8 No apartments,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2007-05-31,full planning permission,,permissioned,"53 - 57 Sandside, Scarborough",BR-001,https://tinyurl.com/ya8rgrxf,,,
yes,,2017-12-18,-0.395287,54.283011,,0.19,2017-12-19,12,12,12,"Conversion of first and second floor of former hospital to create 12 self contained flats, including new bridge and stepped access.",Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2008-03-31,full planning permission,,permissioned,"Former St Thomas Hospital, 11 Foreshore Road, Scarborough",BR-002,https://tinyurl.com/y7rmwntr,,,
yes,,2017-12-18,-0.395221,54.283956,,0.03,2017-12-20,6,6,6,Proposed conversion of former church building into 4 apartments and 2 maisonettes,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2010-10-07,full planning permission,,permissioned,"Former St Johns Church, Globe Street, Scarborough",BR-003,https://tinyurl.com/yapdfb6n,,,
yes,,2017-12-18,-0.400709,54.274744,,0.04,2017-12-21,9,9,9,Change of use from student accommodation/caretaker's flat to 10 no. one bedroomed apartments with 6 on-site car park spaces,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2015-08-18,full planning permission,,permissioned,"Churchills, 1 Montpellier Terrace, Weaponness",BR-004,https://tinyurl.com/y72gdlhr,,,
yes,,2017-12-18,-0.402602,54.28258,,0.1,2017-12-22,14,14,14,Change of use to 14 dwellings,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2005-12-07,other,,permissioned,"Yorkshire Regional Newspapers Ltd, 17 - 23 Aberdeen Walk, Scarborough",BR-005,https://tinyurl.com/y9zbjwyd,,,
yes,,2017-12-18,-0.405525,54.280884,,0.06,2017-12-23,8,8,8,Conversion of offices to 8 apartments,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2016-11-01,other,,permissioned,"First Floor, 11-25 Northway, Scarborough",BR-006,https://tinyurl.com/y88hm88w,,,
yes,,2017-12-18,-0.415162,54.292732,,0.08,2017-12-24,5,5,5,Conversion of hotel to 5 No 2 Bedroom & 1 No 3 Bedroom residential apartments including a two storey rear extension,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2016-12-23,full planning permission,,permissioned,"Lysander Hotel, 22 Weydale Avenue, Scarborough",BR-007,https://tinyurl.com/y8f9r3y8,,,
yes,,2017-12-18,-0.405106,54.282973,,0.01,2017-12-25,6,6,6,Conversion of offices (B1(a)) into 6 no. studio flats (C3),Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2017-02-20,other,,permissioned,"Housing Advice Resource Centre, 22 Victoria Road, Scarborough",BR-008,https://tinyurl.com/y83uyc5c,,,
yes,,2017-12-18,-0.406369,54.2813,,0.08,2017-12-26,9,9,9,Change from office (B1) to residential (C3),Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2017-02-20,other,,permissioned,"First Floor Above 1 - 9, 27 - 37 Northway And 81 Westborough, Scarborough",BR-009,https://tinyurl.com/ybgaykhs,,,
yes,,2017-12-18,-0.618027,54.489236,,0.05,2017-12-27,8,8,8,Alterations to existing flats and bedsits to form 13 no. self-contained flats and formation of new access to basement flat at front,Scarborough Borough Council,http://opendatacommunities.org/id/district-council/scarborough,not owned by a public authority,2017-03-29,full planning permission,,permissioned,"1 Esplanade, Whitby",BR-010,https://tinyurl.com/y7pvs2qg,,,
