Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2017-12-08,,,,0.31,2018-12-18,11,11,11,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Phoenix Special Purpose Machines, Hospital Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR001.pdf,BR001
,,2017-12-08,,,,1.5,2018-12-18,48,48,48,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Land off Cottage Farm Road,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR002.pdf,BR002
,,2017-12-08,,,,0.17,2018-12-18,6,6,6,Site allocation in TBC LP 2006-2031. Lapsed planning permission 0551/2007,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Derelict buildings south of B5404,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR003.pdf,BR003
,,2017-12-08,,,,0.2,2018-12-18,20,20,20,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Norris Bros, Lichfield Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR004.pdf,BR004
,,2017-12-08,,,,0.39,2018-12-18,40,40,40,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Arriva Bus Depot, Aldergate",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR005.pdf,BR005
,,2017-12-08,,,,1.04,2018-12-18,34,34,34,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Northern Part of Beauchamp Employment Area,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR006.pdf,BR006
,,2017-12-08,,,,0.23,2018-12-18,9,9,9,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Station Car Park off B5404,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR007.pdf,BR007
,,2017-12-08,,,,0.24,2018-12-18,12,12,12,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Hyundai Garage, Lichfield Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR008.pdf,BR008
,,2017-12-08,,,,0.17,2018-12-18,7,7,7,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Factory north of B5404,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR009.pdf,BR009
,,2017-12-08,,,,0.51,2018-12-18,32,32,32,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Jewsons, Saxon Drive",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR010.pdf,BR010
,,2017-12-08,,,,0.66,2018-12-18,12,12,12,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Coton's van Hire / Millfields House, Lichfield Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR011.pdf,BR011
,,2017-12-08,,,,0.39,2018-12-18,14,14,14,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Amington Pub,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR012.pdf,BR012
,,2017-12-08,,,,0.42,2018-12-18,34,34,34,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,owned by a public authority,,,,not permissioned,,Car Park off Park Farm Road,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR013.pdf,BR013
,,2017-12-08,,,,0.52,2018-12-18,14,14,14,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Fazeley Autocentre and Units behind,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR014.pdf,BR014
,,2017-12-08,,,,0.24,2018-12-18,8,8,8,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Sandyback Pub, Overwoods Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR015.pdf,BR015
,,2017-12-08,,,,0.5,2018-12-18,16,16,16,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,owned by a public authority,,,,not permissioned,,"Staffs County Council Care Home, New Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR016.pdf,BR016
,,2017-12-08,,,,0.48,2018-12-18,12,12,12,Now Wake engineering. Lapsed pp 0289/2008,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Profile Wrappers, Marlborough Way",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR017.pdf,BR017
,,2017-12-08,,,,0.36,2018-12-18,14,14,14,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Seaton Hire Ltd and land to south, Wilnecote Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR018.pdf,BR018
,,2017-12-08,,,,0.39,2018-12-18,14,14,14,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,mixed ownership,,,,not permissioned,,"Royal Mail sorting office, Blythe Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR019.pdf,BR019
,,2017-12-08,,,,0.31,2018-12-18,11,11,11,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Briers Scrapyard, Glascote",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR020.pdf,BR020
,,2017-12-08,,,,0.15,2018-12-18,5,5,5,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"JE Harrison Depot, Moor Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR021.pdf,BR021
,,2017-12-08,,,,0.16,2018-12-18,6,6,6,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Units North of Campion Drive,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR022.pdf,BR022
,,2017-12-08,,,,0.38,2018-12-18,6,6,6,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Treetops Garage, Dosthill",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR023.pdf,BR023
,,2017-12-08,,,,0.15,2018-12-18,12,12,12,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,owned by a public authority,,,,not permissioned,,"Club, Spinning School Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR024.pdf,BR024
,,2017-12-08,,,,0.21,2018-12-18,16,16,16,Site allocation in TBC LP 2006-2031,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,owned by a public authority,,,,not permissioned,,"Youth Centre, Albert Road",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR025.pdf,BR025
,,2017-12-08,,,,0.19,2018-12-18,15,15,15,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,,,,,not permissioned,,"Job Centre, Saxon Mill Lane",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR026.pdf,BR026
,,2017-12-08,,,,0.86,2018-12-18,30,30,30,site allocation in TBC LP 2006-2031. Wilnecote regeneration corridor,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Former railway goods yard, Wilnecote",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR027.pdf,BR027
,,2017-12-08,,,,0.63,2018-12-18,18,18,18,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,Beauchamp Employment Area,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR028.pdf,BR028
,,2017-12-08,,,,0.26,2018-12-18,9,9,9,,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Petrol filling station, part of Beauchamp Employment Area",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR029.pdf,BR029
,,2017-12-08,,,,0.09,2018-12-18,6,6,6,behind Norris Brothers on Lichfield Street,Tamworth Borough Council,http://opendatacommunities.org/id/district-council/tamworth,not owned by a public authority,,,,not permissioned,,"Progressive Club, Halford Street",https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR030.pdf,BR030
