Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2017-11-30,-1.97238,53.443918,,3.84,2017-11-30,48,48,48,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,,,not permissioned,Adderley Place,G32,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-2.436789,52.0386,,4.4,2017-11-30,100,100,100,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,,,not permissioned,Birch Vale Industrial Estate,BV002,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
yes,,2017-11-30,-1.972198,53.469005,,3.84,2017-11-30,0,0,0,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,full planning permission,,permissioned,Bridge Mills,TI001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.975947,53.337548,,1.4,2017-11-30,50,50,50,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,,,not permissioned,"Britannia Mills, Buxworth",BW004,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.94987,53.433197,,3.39,2017-11-30,100,100,100,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,other,,pending decision,"Charlestown Works, Glossop",GL043,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
yes,,2017-11-30,-1.934561,53.335987,,7.44,2017-11-30,182,182,182,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,outline planning permission,,permissioned,FORGE WORKS,CI001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.900778,53.235712,,4.65,2017-11-30,105,105,105,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,not owned by a public authority,,,,not permissioned,Former Campus,BX055,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.969877,53.448655,,3.9,2017-11-30,89,89,89,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,not owned by a public authority,,full planning permission,,permissioned,Former railway muesum,GL070,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
yes,,2017-11-30,-1.983881,53.326467,,0.36,2017-11-30,11,11,11,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,outline planning permission,,permissioned,"Gisbourne Yard, Whaley Bridge",WB009,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.912798,53.256063,,0.47,2017-11-30,30,30,30,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,,,permissioned,HARDWICK SQUARE SOUTH,BX057,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.936131,53.451509,,0.8,2017-11-30,18,18,18,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,,,not permissioned,"Hawkeshead Mill, Hope Street",GL056,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-1.909243,53.264474,,13.7,2017-11-30,68,68,68,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,,,not permissioned,Hogshaw,B3,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
yes,,2017-11-30,-2.002625,53.427113,,1.7,2017-11-30,22,22,22,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,outline planning permission,,permissioned,Holehouse Mill MARPLE ROAD,CS001,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
yes,,2017-11-30,-1.936457,53.252069,,0.79,2017-11-30,8,8,8,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,,,full planning permission,,permissioned,LEEK ROAD,BX115,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
,,2017-11-30,-2.00229,53.367456,,0.8,2017-11-30,24,24,24,,High Peak Borough Council,http://opendatacommunities.org/id/district-council/high-peak,owned by a public authority,,,,not permissioned,Market Street Depot,BX051,https://www.highpeak.gov.uk/article/1392/Strategic-Housing-Land-Availability-Assessment-SHLAA,,,
