Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,2019-05-22,2017-12-18,-2.292382,53.055588,,0.33,2019-12-12,,,,15/00692/FUL - Erection of 12 dwellings. Now completed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2016-05-27,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016SIBMLI000,permissioned,"Former working men's club, New Road, Audley",AB17,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSLI1MBMGW500,,,
,,2019-12-12,-2.284465,53.04953,,0.16,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"Land at Wedgewood Avenue, Wood Lane",AB29,,,,
,,2019-12-12,-2.267113,53.087567,,0.98,2019-12-12,,,,"19/00760/FUL - Residential development for 71 dwellings, 53 dwellinghouses and 18 apartments. Pending decision",,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001O2PBMLI000,pending decision,West Avenue (North West Site) Kidsgrove,BL7,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PYA1YPBM01S00,,,
yes,,2017-12-18,-2.265407,53.086337,,1.42,2019-12-12,,,,15/00368/OUT - Residential development for 44 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2016-09-07,outline planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017IRBMLI000,permissioned,"Land adjacent to roundabout at West Avenue, Kidsgrove",BL8,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNMN7MBMN3F00,,,
,,2019-12-12,-2.236159,53.027163,,0.23,2019-12-12,,,,09/00045/FUL - Demolition of existing bungalow and erection of eight dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2009-03-27,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015ADBMLI000,permissioned,"Land between Johnson Avenue and Liverpool Road, Cross Heath",CH12,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KEA2Q4BM06500,,,
yes,,2017-12-18,-2.243963,53.023674,,8.79,2019-12-12,,,,17/00281/FUL - Development of 276 dwellings,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2018-05-16,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IIY4TKBMY3000,permissioned,"Wilmott Drive, Cross Heath, Newcastle-under-Lyme",CH4,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOB4WBMK6800,,,
,,2019-12-12,-2.253582,53.043811,,0.35,2019-12-12,,,,Site promoted by registered provider,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,,,,not permissioned,"Dragon Square, Rosevale Court",CT12,,,,
yes,,2017-12-18,-2.250345,53.043764,,0.1,2019-12-12,,,,18/00559/FUL - Proposed 10 no. two bedroom self contained flats,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2019-03-08,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,permissioned,"Heathcote Street, Chesterton (Chesterton Ex-Servicemens Club)",CT13,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PC1SPJBMJF700,,,
yes,2019-05-22,2017-12-18,-2.250515,53.043873,,0.31,2019-12-12,,,,17/00417/FUL - Residential development of 14 dwellings. Now completed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2017-09-28,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001M94BMLI000,permissioned,Ex Servicemens Club Heathcote Street,CT22,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ3EWWBMH0G00,,,
yes,2019-05-22,2017-12-18,-2.250297,53.043168,,0.3,2019-12-12,,,,10/00480/FUL - Erection of 16 terraced dwellings. Now completed,,http://opendatacommunities.org/id/district-council/newcastle-staffs,not owned by a public authority,2010-12-07,full planning permission,https://publicaccess.newcastle-staffs.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0017SDBMLI000,permissioned,"Corona Park, Sandford Street, Chesterton",CT23,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L7AIQNBM4V000,,,
