Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2017-12-12,-0.518149,51.653723,,1.61,2020-12-01,132,132,145,Site put forward to Call for Sites (CFS16),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,owned by a public authority,,,,not permissioned,,"Land at Chorleywood Station, Chorleywood",http://www.planvu.co.uk/trdc/,BR1
,,2017-12-12,-0.46728,51.641264,,0.61,2020-12-01,28,28,45,Site put forward to Call for Sites (CFS40),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,owned by a public authority,,,,not permissioned,,"Land at Park Road, High Street, Rickmansworth",http://www.planvu.co.uk/trdc/,BR2
,,2017-12-12,-0.473609,51.640411,,0.11,2020-12-01,9,9,10,Site put forward to Call for Sites (CFS41),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,owned by a public authority,,,,not permissioned,,"Rickmansworth Station Car Park, Rickmansworth",http://www.planvu.co.uk/trdc/,BR3A
,,2017-12-12,-0.473447,51.640067,,0.31,2020-12-01,24,24,27,Site put forward to Call for Sites (CFS41),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,owned by a public authority,,,,not permissioned,,"Land at Rickmansworth Station, Rickmansworth",http://www.planvu.co.uk/trdc/,BR3B
yes,,2017-12-12,-0.442518,51.713081,,30.93,2020-12-01,134,134,190,"Allocated housing site (H1). Planning permission has been granted for parts of the site; the extant permissions which have not yet started construction amount to 134 dwellings (16/1541/PDR - full planning permission, granted 2016-09-14; 18/1034/OUT - outline planning permission, granted 2019-08-15 19/1784/FUL - full planning permission, granted 2019-11-14; 19/1550/FUL).",Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,not owned by a public authority,2020-06-16,full planning permission,https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PE86V3QF0D300|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?keyVal=OALWI7QF03N00&activeTab=summary|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PW83YNQFGD700|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PXYVH6QF0D100|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7D71GQF04900|https://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O7D71GQF04900,permissioned,,"Kings Langley Employment Area, Kings Langley",http://www.planvu.co.uk/trdc/,BR4
,,2017-12-12,-0.416329,51.706985,,0.13,2020-12-01,10,10,12,Allocated housing site (H3),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,not owned by a public authority,,,,not permissioned,,"Pin Wei, 35 High Street, Abbots Langley",http://www.planvu.co.uk/trdc/,BR5
,,2017-12-12,-0.418633,51.699013,,0.53,2020-12-01,30,30,42,Allocated housing site H(4),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,owned by a public authority,,,,not permissioned,,"Furtherfield Depot Furtherfield, Abbots Langley",http://www.planvu.co.uk/trdc/,BR6
,,2017-12-12,-0.410019,51.694598,,0.57,2020-12-01,30,30,46,Allocated housing site (H6),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,not owned by a public authority,,,,not permissioned,,"Hill Farm Industrial Estate, Hill Farm Avenue, Leavesden",http://www.planvu.co.uk/trdc/,BR7
,,2017-12-12,-0.442192,51.68887,,1.97,2020-12-01,20,20,30,This site is part of the Council's development brief for 'Langleybury and the Grove'. Part of site put forward to Call for Sites (CFS23). Planning application for temporary change of use of the site and buildings to film studios pending consideration at time of review (20/1697/RSP).. http://www.threerivers.gov.uk/egcl-page/langleybury-and-the-grove-development-brief,Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,not owned by a public authority,,,,not permissioned,,"Langleybury House/School, Langleybury",http://www.planvu.co.uk/trdc/,BR8
yes,,2017-12-12,-0.492575,51.68121,,0.15,2020-12-01,10,10,13,Allocated rural exception site in Sarratt village (H8). Three applications have been withdrawn and one has been refused.,Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,not owned by a public authority,,,https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=MTOQYLQF08E00|https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PBSM53QFKIN00|https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=PLTSYWQFM5400|https://www3.threerivers.gov.uk/online-applications/caseDetails.do?caseType=Application&keyVal=OWMLL0QFHWY00,not permissioned,,"Royal British Legion, Church Lane, Sarratt",http://www.planvu.co.uk/trdc/,BR9
,,2017-12-12,-0.431496,51.651753,,0.09,2020-12-01,10,10,13,Allocated housing site (H9),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,not owned by a public authority,,,http://www3.threerivers.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K59ZX6QF03W00,not permissioned,,"33 Baldwins Lane, Croxley Green",http://www.planvu.co.uk/trdc/,BR10
,,2017-12-12,-0.440008,51.648017,,1.45,2020-12-01,87,87,116,Site put forward to Call for Sites (CFS20),Three Rivers District Council,http://opendatacommunities.org/id/district-council/three-rivers,owned by a public authority,,,,not permissioned,,"Croxley Station Car Park and Timber Yard, Croxley Green",http://www.planvu.co.uk/trdc/,BR11
