Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-01,-1.180587,50.883688,,2.2,2019-12-19,72,72,72,"http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P/17/0189/FP&uprn=100062408858. Demolition, Site Clearance And Remediation With The Erection Of 72 C3 Residential Dwellings And Associated Access, Parking, Ancillary Infrastructure And Landscaping Works. http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P/17/0189/FP&uprn=100062408858",Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,,full planning permission,http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P/17/0189/FP&uprn=100062408858,pending decision,"Sawmills Industrial Park, Wickham Road, Fareham",37,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-37.jpg,,,
yes,,2019-12-01,-1.193378,50.852986,,0.18,2019-12-19,9,9,20,,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,,,,not permissioned,"1-2 The Avenue, Fareham",86,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-86.jpg,,,
yes,,2017-12-01,-1.189876,50.851958,,0.17,2019-12-19,34,34,34,http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf. http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,,,,not permissioned,"280-282 (UTP) West Street, Fareham",87,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-87.jpg,,,
yes,,2017-12-01,-1.173524,50.851858,,0.08,2019-12-19,5,5,5,"http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P/17/1060/FP. Conversion Of Offices Into 5No 2-Bedroom Flats, With Offices Retained On Part Of The Ground Floor. http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P/17/1060/FP",Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,2017-11-10,full planning permission,http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P/17/1060/FP,permissioned,"Norgar House, 10 East Street, Fareham",158,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-158.jpg,,,
yes,,2019-12-01,-1.176862,50.854319,,3.35,2019-12-19,100,100,100,http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf. http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,mixed ownership,,,,not permissioned,"Civic Quarter, Fareham",198,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-198.jpg,,,
yes,,2019-12-01,-1.124891,50.846588,,0.25,2019-12-19,26,26,26,http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P%2F19%2F1040%2FOA. Additional 1 and 2 storeys on the existing building to provide 26 apartments. http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P%2F19%2F1040%2FOA,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,,outline planning permission,http://www.fareham.gov.uk/casetrackerplanning/ApplicationDetails.aspx?reference=P%2F19%2F1040%2FOA,pending decision,"3-33 West Street, Portchester",203,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-203.jpg,,,
yes,,2017-12-01,-1.191472,50.853452,,1.58,2019-12-19,120,120,120,http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf. http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,mixed ownership,,,,not permissioned,"Fareham Station East, Fareham",211,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-211.jpg,,,
yes,,2017-12-01,-1.193139,50.853735,,1.05,2019-12-19,94,94,94,http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf. http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,,,,not permissioned,"Fareham Station West, Fareham",212,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-212.jpg,,,
yes,,2017-12-01,-1.215644,50.862323,,0.43,2019-12-19,13,13,13,http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf. http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,not owned by a public authority,,,,not permissioned,"Wynton Way, Fareham",1058,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-1058.jpg,,,
yes,,2017-12-01,-1.180995,50.838329,,0.2,2019-12-19,8,8,8,http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf. http://www.fareham.gov.uk/PDF/planning/local_plan/DraftLocalPlanEvidenceBase/EV11-SHLAAOct2017.pdf,Fareham Borough Council,http://opendatacommunities.org/id/district-council/fareham,owned by a public authority,,,,not permissioned,"335-357 Gosport Road, Fareham",1076,http://www.fareham.gov.uk/downloads/BLR_Plans/SitePlan-1076.jpg,,,
