Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2017-12-08,-0.937172,50.848175,,0.16,2019-02-01,15,15,15,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49953_1,not permissioned,,FORMER VICTORIA COTTAGE HOSPITAL EMSWORTH,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,EM1
,,2017-12-08,-0.935874,50.849665,,0.46,2019-02-01,15,15,15,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,,not permissioned,,"GAS SITE , PALMERS ROAD",http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,EM2
,,2017-12-08,-0.982463,50.854451,,40.66,2017-12-08,750,750,750,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,mixed ownership,,,,not permissioned,,HAVANT TOWN CENTRE HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,TC1
yes,,2017-12-08,-0.989849,50.852572,,3.17,2019-02-01,120,120,120,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2468_1,not permissioned,,PORTSMOUTH WATER HQ HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,HB2
,,2017-12-08,-0.996923,50.853254,,0.53,2019-02-01,21,21,21,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2499_1,not permissioned,,LAND AT PALK ROAD HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,HB3
yes,,2019-02-01,,,,,2019-02-01,,,,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,,not permissioned,,HAVANT GARDEN CENTRE,,HB8
yes,,,,,,,2020-03-05,,,,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,,,,HELMSLEY HOUSE,,HB12
yes,,2017-12-08,-0.976994,50.85898,,2.26,2017-12-08,99,99,99,"HAVANT HEALTH AND WELLBEING CAMPUS, COMPRISING AN 80 BED NURSING HOME, 51 AFFORDABLE EXTRA CARE FLATS, 48 AFFORDABLE AND MARKET SUPPORTED LIVING FLATS & COMMUNITY HUB FACILITIES",Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,,2015-12-18,full planning permission,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2054_4,permissioned,,LAND AT FORMER OAK PARK SCHOOL HAVANT,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,HB70
,,,,,,,2020-03-05,,,,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,,,,HAVANT AND SOUTH DOWNS COLLEGE (HAVANT CAMPUS),,HB14
yes,,2017-12-08,-0.976065,50.79238,,0.16,2017-12-08,14,14,14,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_58296_1,not permissioned,,"PULLINGERS, ELM GROVE",http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,HY2
,,2017-12-08,-0.988232,50.784762,,1.92,2017-12-08,125,125,125,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,mixed ownership,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_1478_1,not permissioned,,BEACHLANDS HAYLING ISLAND,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,HY17
,,2017-12-08,-0.952768,50.778397,,0.23,2017-12-08,30,30,30,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,,,,,not permissioned,,"THE NAB CAR PARK, SOUTHWOOD ROAD",http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,HY16
,,2017-12-08,-0.997187,50.876053,,2.15,2017-12-08,40,40,40,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_66411_1,not permissioned,,STROUDEN COURT LEIGH PARK,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,LP1
,,2017-12-08,-0.987897,50.869903,,0.61,2017-12-08,72,72,72,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,,not permissioned,,DUNSBURY WAY LEIGH PARK,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,LP3
,,2017-12-08,-0.985671,50.86768,,6.92,2017-12-08,62,62,62,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,mixed ownership,,,,not permissioned,,LEIGH PARK CENTRE LEIGH PARK,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,TC2
,,,,,,,2020-03-05,,,,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,,,,,,,FORMER SCOTTISH AND SOUTHERN ENERGY OFFICES,,LP4
yes,,2017-12-08,-0.969845,50.866193,,3.1,2017-12-08,90,90,90,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,not owned by a public authority,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_43966_1,not permissioned,,FORMER COLT SITE NEW LANE LEIGH PARK,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,LP6
,,2017-12-08,-1.031875,50.881184,,24.58,2017-12-08,600,600,600,,Havant Borough Council,http://opendatacommunities.org/id/district-council/havant,mixed ownership,,,,not permissioned,,WATERLOOVILLE TOWN CENTRE WATERLOOVILLE,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,TC3
