Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-31,0.012107,50.877101,,9,2018-11-26,,415,415,,,http://opendatacommunities.org/id/national-park-authority/south-downs,mixed ownership,2016-01-01,full planning permission,,permissioned,"North Street Quarter, Lewes",SDB001,https://www.southdowns.gov.uk/wp-content/uploads/2017/09/Chapter-8-Chapter_9.pdf,,,
yes,,2017-12-31,-0.727171,50.994482,,1,2017-12-31,,16,16,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,"Cowdray Works Yard, Easebourne",SDB003,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPZMK7TU0LJ00,,,
yes,,2017-12-31,-0.721249,50.99841,,0.7,2017-12-31,,14,14,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,"School Buildings at Former Easebourne School,Easebourne",SDB004,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPZOB6TU0LJ00,,,
,,2017-12-31,-0.752045,50.982511,,2.7,2017-12-31,,65,65,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,,,,Not Permissioned,"West Sussex County Council Depot and former Brickworks site, Midhurst",SDB005,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6ALRUTU0EF00,,,
,,2017-12-31,-0.743181,50.97837,,5,2017-12-31,,50,50,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,"Holmbush Caravan Park,11 The Fairway, Midhurst GU29 9JD",SDB006,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P6AOB3TU0EF00,,,
yes,,2017-12-31,-0.743852,50.97674,,0.1,2017-12-31,,8,8,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,"Land at the Fairway, Midhurst GU29 9JF",SDB007,https://www.southdowns.gov.uk/wp-content/uploads/2017/09/Chapter-8-Chapter_9.pdf,,,
yes,,2017-12-31,-0.740139,50.988687,,0.4,2017-12-31,,20,20,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,2018-06-18,full planning permission,,permissioned,"Land at Lamberts Lane, Midhurst GU29 9EA",SDB008,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OUO6IGTULBF00,,,
yes,,2017-12-31,-0.775839,50.992133,,0.75,2018-11-26,,16,16,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,"Stedham Sawmill, Stedham",SDB009,https://www.southdowns.gov.uk/brownfield,,,
yes,,2017-12-31,0.015492,50.875172,,0.2,2017-12-31,,9,9,,,http://opendatacommunities.org/id/national-park-authority/south-downs,owned by a public authority,2016-09-30,full planning permission,,permissioned,"Magistrates court car park, Court Road, Lewes",SDB010,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=O54CV0TUGMI00,,,
yes,,2017-12-31,-0.722563,51.034638,,7.7,2017-12-31,,200,200,,,http://opendatacommunities.org/id/national-park-authority/south-downs,not owned by a public authority,,,,Not Permissioned,"Syngenta, Fernhurst",SDB012,https://planningpublicaccess.southdowns.gov.uk/online-applications/applicationDetails.do?keyVal=ONXJC0TU0EF00&activeTab=summary,,,
