Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-22,-1.547787,54.520486,,2.16,2017-12-12,60,60,60,Cattle Mart and associated car park. Commercial use to be relocated. Potentially not deliverable in the short term but an option for brownfield housing development of appoximately 60 units.,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Cattle Mart,11,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2017-11-22,-1.435829,54.51706,,1.88,2017-11-22,55,55,55,"Outline planning permission for residential development of up to 55 dwellings with all matters reserved (amended Arboricultural Survey received 6 June 2016) (amended Site Location Plan, Parameters Plan, Constraints Plan, Design & Access Statement and Planning Statement received 29 June 2016) (additional Retrospective Heritage Statement received 29 June 2016) (Additional Ecology Report received 4 October 2016)",Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,pending decision,"Lancaster House, DTVA",16,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.558688,54.545509,,7.26,2017-12-12,219,219,219,Largely cleared brownfield site. Potential for brownfield housing development of approximately 219 units,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,"Former Corus Site, Whessoe Road",26,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2017-11-22,-1.535064,54.534139,,0.42,2017-11-22,12,12,12,Erection of 13 residential units in outline,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,pending decision,213-221 Haughton Road,33,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.544682,54.524708,,0.25,2017-11-22,12,12,12,"Erection of 36 No. apartments including associated drainage works, car parking and demolition of existing buildings",Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Melland Street,50,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2017-11-22,-1.58869,54.533682,,1.98,2017-12-12,35,35,35,Site cleared of former office building. Potential for brownfield housing development of approximately 35 units,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Mowden Hall,51,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2017-11-22,-1.575137,54.534079,,0.39,2017-11-22,11,11,11,"Former engineering use and petrol filling station. Site cleared. Proposed redevelopment of the site for residential purposes, comprising 20 dwellings and associated car parking",Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,pending decision,Rear of Cockerton Club,59,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2017-11-22,-1.523732,54.524816,,1.34,2017-11-22,35,35,35,Erection of 48 two storey dwellinghouses (amended plan received 25 April 2008),Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,2011-03-07,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,NW of Heron Drive,60,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.54582,54.52999,,0.49,2017-12-12,17,17,17,Current car park. Potential for brownfield housing development of approximately 17 units.,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Chesnut Street Car Park,136,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.543022,54.531537,,0.86,2017-12-12,23,23,23,Site currently in commercial use. Site has been actively marketed. Potential for brownfield housing development of approximately 23 units.,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Site East off Dumfries Street,172,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.546411,54.53341,,2.06,2017-11-22,30,30,30,Outline application for residential development (Revised Application),Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Eastmount Road Coal Depot,237,http://www.darlington.gov.uk/brownfieldlandregister,,,
yes,,2017-11-22,-1.50818,54.530107,,10.25,2017-12-12,331,331,331,Existing buildings on site. Potential for brownfield housing development of approximately 331 units.,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Lingfield Point East,244,http://www.darlington.gov.uk/brownfieldlandregister,,,
,,2017-11-22,-1.519857,54.529686,,0.4,2017-12-12,12,12,12,Vacant car park. Potential for brownfield housing development of approximately 12 units.,Darlington,http://opendatacommunities.org/id/unitary-authority/darlington,not owned by a public authority,,,http://www.darlington.gov.uk/environment-and-planning/planning/planning-applications-and-permission/view-planning-applications-online/,not permissioned,Car Park East of McMullen Road,377,http://www.darlington.gov.uk/brownfieldlandregister,,,
