Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2019-12-04,1.70622,52.469612,,0.237561,2019-12-04,,1,1,Planning application number BA/2019/0168/FUL,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2019-07-10,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PRJ372TBHJ300,permissioned,Broadlands Park Marsh Road Lowestoft NR33 9JY,BF000025,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PRJ372TBHJ300,,,
yes,,2018-12-20,1.388568,52.614791,,1.324366,2018-12-20,,1,1,Planning application number: BA/2017/0191/FUL,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2017-08-24,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OR7OJATBGJA00,permissioned,The Old Stables Hall Farm Hall Lane Postwick NR13 5HQ,BF000013,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OR7OJATBGJA00,,,
yes,,2017-11-23,1.40878,52.712854,,0.10086,2018-12-20,,0,0,Allocated in emerging Local Plan - Policy HOV3.,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,,,,not permissioned,"Former Waterside Rooms, Station Road, Hoveton.",BF000006,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,,,
yes,,2019-12-04,1.410638,52.710224,,0.019787,2019-12-04,,1,1,Planning application number BA/2018/0374/FUL,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2019-04-18,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=PF8T1BTB01U00,permissioned,The Rhond Hoveton Norfolk NR12 8UE,BF000028,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PF8T1BTB01U00,,,
yes,,2018-12-20,1.486935,52.679079,,0.118399,2018-12-20,,1,1,Planning application number BA/2017/0170/HOUSEH,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2017-08-23,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQCGB0TB01W00,permissioned,The Pyghtle Broad Road Ranworth Norwich Norfolk NR13 6HS,BF000014,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQCGB0TB01W00,,,
yes,,2018-12-20,1.536554,52.709423,,0.178536,2018-12-20,,1,1,Planning application number BA/2015/0148/FUL,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2015-11-03,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNWV80TBFJN00,permissioned,Land At The Manor Staithe Road Ludham Norfolk NR29 5AB,BF000019,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNWV80TBFJN00,,,
yes,,2018-12-20,1.446291,52.581123,,0.489764,2018-12-20,,2,2,Planning application number BA/2015/0246/FUL,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2015-11-12,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRM7AOTBFML00,permissioned,Claxton Manor Barn Complex The Street Claxton Norfolk NR14 7AS,BF000018,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NRM7AOTBFML00,,,
yes,,2018-12-20,1.410615,52.710436,,0.078915,2018-12-20,,2,2,Planning application number BA/2016/0408/FUL,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2017-02-02,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGFOMLTB01U00,permissioned,Erequay The Rhond Hoveton Norfolk NR12 8UE,BF000015,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGFOMLTB01U00,,,
yes,,2017-11-23,1.708607,52.477034,yes,1.700213,2018-12-20,,76,76,Was allocated in 2014 Site Specific Local Plan and allocated in emerging Local Plan policy OUL2. Details of the application (BA/2012/0271/FUL),The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,2014-07-14,full planning permission,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?keyVal=M96Z8STBT0000&activeTab=summary,permissioned,"Former Pegasus/Hamptons Site, Coldecott Road, Oulton Broad, Suffolk",BF000008,https://planning.broads-authority.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=M96Z8STBT0000,,,
yes,,2017-11-23,1.408405,52.713662,,0.11375,2018-12-20,,0,0,Allocated in emerging Local Plan - Policy HOV3.,The Broads Authority,http://opendatacommunities.org/id/national-park-authority/the-broads,not owned by a public authority,,,,not permissioned,"Old Broads Hotel Site, Station Road, Hoveton",BF000005,https://www.broads-authority.gov.uk/__data/assets/pdf_file/0007/995569/11_HOVETON-and-WROXHAM-new.pdf,,,
